iter	RMSE
737	10292.99831
738	10280.23086
739	10279.39112
740	10271.54127
741	10263.00356
742	10243.15051
743	10229.62179
744	10227.76292
745	10224.7873
746	10220.1436
747	10217.3288
748	10195.87797
749	10193.67393
750	10184.96969
751	10178.15334
752	10163.93285
753	10161.22333
754	10158.98614
755	10146.50741
756	10136.56998
757	10127.54829
758	10119.10321
759	10113.83
760	10102.20137
761	10097.85445
762	10091.38061
763	10080.13614
764	10075.40548
765	10067.52837
766	10058.42512
767	10043.0183
768	10024.12083
769	10021.35816
770	10019.71454
771	10009.48512
772	10008.58309
773	9989.468772
774	9982.198088
775	9971.630259
776	9971.090322
777	9947.097422
778	9941.737827
779	9933.907065
780	9925.0138
781	9908.341481
782	9906.757398
783	9903.504668
784	9888.293973
785	9887.672011
786	9874.646183
787	9863.160092
788	9861.533399
789	9859.156917
790	9853.785255
791	9845.677568
792	9839.832824
793	9831.25209
794	9829.067061
795	9820.529565
796	9817.809293
797	9802.69095
798	9795.67031
799	9794.766962
800	9787.760389
801	9780.483258
802	9773.825987
803	9765.106389
804	9757.078118
805	9756.512173
806	9752.887848
807	9750.709793
808	9747.394855
809	9738.868998
810	9726.534548
811	9722.286739
812	9712.026557
813	9701.808994
814	9700.492527
815	9689.196348
816	9676.222371
817	9669.485909
818	9660.044033
819	9659.352092
820	9654.409411
821	9653.124023
822	9645.550989
823	9642.296106
824	9638.740793
825	9630.576729
826	9622.083215
827	9612.272267
828	9604.590706
829	9588.538943
830	9577.895301
831	9562.556671
832	9548.202916
833	9539.335731
834	9533.080952
835	9528.605811
836	9514.125279
837	9512.987558
838	9501.588548
839	9490.404501
840	9484.824024
841	9482.011858
842	9480.78498
843	9469.519795
844	9461.584322
845	9460.595436
846	9452.256842
847	9445.359527
848	9437.634324
849	9430.630249
850	9427.971418
851	9415.737472
852	9409.312433
853	9400.769937
854	9398.425612
855	9389.326894
856	9380.320041
857	9375.058674
858	9366.589249
859	9348.839401
860	9333.951618
861	9327.495941
862	9324.642764
863	9316.551583
864	9308.771997
865	9307.814172
866	9297.866751
867	9293.045587
868	9292.137313
869	9291.612113
870	9288.834806
871	9287.126092
872	9279.874935
873	9274.765762
874	9266.234404
875	9258.74439
876	9251.854039
877	9251.272636
878	9247.325124
879	9239.394621
880	9232.871929
881	9228.500538
882	9216.68903
883	9203.601254
884	9202.140551
885	9197.444825
886	9195.33061
